category_id,category_name,,country,description,followers,join_date,location,picture_url,profile_url,title,trailer_title,trailer_url,videos
FTC Disclaimer: We earn a % of sales made through Amazon Affiliate links",10450207,1/4/10,,https://yt3.ggpht.com/a-/AN66SAxsJZS6YIxy9dnp9s_5Hdc82WkUjtfbARWIVQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC1zZE_kJ8rQHgLTVfobLi_g,The King of Random,"10,000,000 Subscriber Rollover...",https://www.youtube.com/watch?v=5Tfy0itXDNs,770

27,Education,UC7Pq3Ko42YpkCB_Q4E981jw,United States,"We welcome you to the land of Kids TV where you will find lots of nursery rhymes and kids songs with lyrics. 


We aim to make children‰Ûªs learning a fun & educational experience with alphabets, number, colours, shapes, animals and more. 


Kids TV is also a home to Popular Kids Shows like Bob the Train, Junior Squad, Little Eddie, Baby Bao Panda, Bottle Squad, Om Nom.


All you need to do is subscribe to Kids TV for your toddlers and let them enjoy hundreds of kid‰Ûªs favourite songs, stories, phonics song and classic nursery rhymes like Johny Johny Yes Papa, Wheels on the Bus, Finger Family, Baa Baa Black Sheep and many more.





English Nursery Rhymes, Comptines en anglais,  MÌ_sicas em inglÌ»s para crianÌ_as, PÌ_sni€çky v angli€çtin€_, ¯£ô ¯_¯«ô_¯ø ¯£¯áôÅ¯_ôã ¯¬¯_ôãôã¯_¯© ¯_ôã¯´ô ¯Âôãô_¯_ô_¯©, Barnerim pÌ´ engelsk, canciones en inglÌ©s para niÌ±os, Lagu-lagu anak berbahasa Inggeris, Canzoni per bambini in inglese, Hindi Rhymes, Engelse kinderliedjes, Piosenki dla dzieci po angielsku, Kinderlieder, , ˆ_Ûˆü_ˆü´ˆüàˆüÊˆü_ˆü©ˆü_ˆü_ˆü±ˆüàˆüÅˆü_ˆü©ˆü»ˆü_ˆüÇˆü£ˆü±ˆü_ˆ_ÛˆüÓˆ_àˆüÅ.",10304006,8/30/13,,https://yt3.ggpht.com/a-/AN66SAxWMlEWN4v-1tICyJPtWND0LFYn82ZsUZeHIA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC7Pq3Ko42YpkCB_Q4E981jw,Kids TV - Nursery Rhymes And Baby Songs,Muffin Man | Supremes Cartoon | Songs And Nursery Rhymes by Kids Tv,https://www.youtube.com/watch?v=5Em4CcFEaTM,2129

27,Education,UC1ciY6kR3yj3kaKZ6R7ewAg,India,"Infobells Interactive Solutions is a multi-faceted E-Learning firm, engaged in publishing and marketing of Interactive Educational & Edutainment video content, covering a wide variety of categories like Children Rhymes, Animated Stories, Kids Education, Reference, Lifestyle, Self Improvement, CBT's etc.





Infobells showed a natural interest towards the Hindi language and produced a one of a kind 3D character animated \",9204636,6/6/14,,https://yt3.ggpht.com/a-/AN66SAyumi3qsluuuswOX5by3NP0FZzGMrLVJt52XA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,Bandar Mama Pahan Pajama - 3D Animated Hindi Rhymes,https://www.youtube.com/watch?v=JeLIYZJ3hfM,190
